Play in,First Round,Second Round,Sweet 16,Elite 8 ,Final 4,Championship,Champions
north-dakota-state,duke,,,,,,
north-dakota-state,play-in,,,,,,
belmont,virginia-commonwealth,,,,,,
belmont,central-florida,,,,,,
fairleigh-dickinson,mississippi-state,,,,,,
fairleigh-dickinson,liberty,,,,,,
arizona-state,virginia-tech,,,,,,
arizona-state,saint-louis,,,,,,
,maryland,,,,,,
,play-in,,,,,,
,louisiana-state,,,,,,
,yale,,,,,,
,louisville,,,,,,
,minnesota,,,,,,
,michigan-state,,,,,,
,bradley,,,,,,
,gonzaga,,,,,,
,play-in,,,,,,
,syracuse,,,,,,
,baylor,,,,,,
,marquette,,,,,,
,murray-state,,,,,,
,florida-state,,,,,,
,vermont,,,,,,
,buffalo,,,,,,
,play-in,,,,,,
,texas-tech,,,,,,
,northern-kentucky,,,,,,
,nevada,,,,,,
,florida,,,,,,
,michigan,,,,,,
,montana,,,,,,
,virginia,,,,,,
,gardner-webb,,,,,,
,mississippi,,,,,,
,oklahoma,,,,,,
,wisconsin,,,,,,
,oregon,,,,,,
,kansas-state,,,,,,
,california-irvine,,,,,,
,villanova,,,,,,
,saint-marys-ca,,,,,,
,purdue,,,,,,
,old-dominion,,,,,,
,cincinnati,,,,,,
,iowa,,,,,,
,tennessee,,,,,,
,colgate,,,,,,
,north-carolina,,,,,,
,iona,,,,,,
,utah-state,,,,,,
,washington,,,,,,
,auburn,,,,,,
,new-mexico-state,,,,,,
,kansas,,,,,,
,northeastern,,,,,,
,iowa-state,,,,,,
,ohio-state,,,,,,
,houston,,,,,,
,georgia-state,,,,,,
,wofford,,,,,,
,seton-hall,,,,,,
,kentucky,,,,,,
,abilene-christian,,,,,,
